# ts: 1780645948.2026622
基金代码,基金简称,基金类型,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
005551,汇安成长优选混合C,混合型,2026-06-04,3.5766,3.5766,2.48,2.11,19.33,40.02,66.33,231.9,348.42,190.8,54.14,257.66,0.00%
020661,中加科技创新混合发起式A,混合型,2026-06-04,3.3728,3.3728,-0.3,1.41,26.08,56.68,76.2,231.71,287.1,nan,61.39,237.28,0.15%
020662,中加科技创新混合发起式C,混合型,2026-06-04,3.3317,3.3317,-0.3,1.4,26.01,56.45,75.71,229.81,282.91,nan,61.01,233.17,0.00%
006430,凯石澜龙头经济一年持有混合,混合型,2026-06-04,1.9646,2.6846,0.8,1.01,19.76,41.5,54.61,228.09,231.91,175.62,45.57,250.44,0.15%
501026,财通多策略福享混合(LOF),混合型,2026-06-04,2.6352,2.6352,1.12,2.28,25.82,67.87,86.6,227.88,242.86,224.09,69.52,163.52,0.15%
018358,华富数字经济混合A,混合型,2026-06-04,3.1464,3.1464,2.48,-1.29,24.1,62.76,111.94,227.1,322.68,nan,92.43,214.64,0.15%
018359,华富数字经济混合C,混合型,2026-06-04,3.1096,3.1096,2.48,-1.3,24.06,62.6,111.54,225.82,319.37,nan,92.12,210.96,0.00%
610006,信澳产业升级混合A,混合型,2026-06-04,4.293,4.763,2.75,6.26,27.24,57.43,80.91,225.72,218.47,114.86,64.36,513.57,0.15%
001613,长城久祥混合A,混合型,2026-06-04,2.9888,2.9888,-0.65,3.09,24.45,61.03,104.03,225.05,244.41,152.82,80.97,198.88,0.15%
000017,财通可持续混合,混合型,2026-06-04,4.002,5.821,1.21,2.25,27.01,68.36,86.4,224.42,239.53,220.02,69.94,972.4,0.15%
017462,长城久祥混合C,混合型,2026-06-04,2.9292,2.9292,-0.65,3.08,24.38,60.79,103.46,223.13,240.37,148.32,80.55,224.24,0.00%
021382,博时科技驱动混合A,混合型,2026-06-04,3.4784,3.4784,2.29,5.2,28.7,53.21,88.13,223.0,nan,nan,76.07,247.84,0.15%
017234,永赢睿恒混合A,混合型,2026-06-04,3.2191,3.2191,2.27,1.17,17.81,34.23,60.64,222.62,nan,nan,46.86,221.91,1.50%
021383,博时科技驱动混合C,混合型,2026-06-04,3.4364,3.4364,2.29,5.19,28.61,52.97,87.57,221.07,nan,nan,75.61,243.64,0.00%
022368,永赢睿恒混合C,混合型,2026-06-04,3.1917,3.1917,2.27,1.16,17.74,34.03,60.16,220.81,nan,nan,46.49,219.17,0.00%
016772,诺德兴新趋势混合A,混合型,2026-06-04,2.0863,2.0863,1.36,0.25,24.02,54.68,86.23,219.94,145.16,130.99,65.32,108.63,0.15%
005914,景顺长城智能生活混合A,混合型,2026-06-04,5.9567,5.9567,0.5,1.13,24.91,62.8,73.33,219.58,297.03,226.93,60.19,495.67,0.15%
016773,诺德兴新趋势混合C,混合型,2026-06-04,2.0434,2.0434,1.35,0.24,23.96,54.44,85.68,218.04,142.28,126.87,64.9,104.34,0.00%
023265,景顺长城智能生活混合C,混合型,2026-06-04,5.9081,5.9081,0.5,1.12,24.84,62.56,72.78,217.64,nan,nan,59.75,188.4,0.00%
005482,博时创新驱动混合A,混合型,2026-06-04,2.006,2.006,2.34,2.79,22.14,48.03,79.8,217.41,189.51,106.4,63.58,100.6,0.15%
003857,前海开源周期优选混合A,混合型,2026-06-04,5.9708,5.9708,2.45,1.97,26.8,51.29,95.8,215.45,228.79,215.21,74.62,497.08,0.15%
240011,华宝大盘精选混合,混合型,2026-06-04,6.8688,7.4956,-0.42,1.21,14.04,38.53,47.6,215.22,230.58,205.39,40.27,783.17,0.15%
003858,前海开源周期优选混合C,混合型,2026-06-04,5.8869,5.8869,2.45,1.96,26.79,51.26,95.71,215.13,228.14,214.27,74.55,488.69,0.15%
020440,东兴数字经济混合发起A,混合型,2026-06-04,2.5708,2.5708,0.48,2.76,18.97,58.41,72.55,215.13,150.22,nan,55.74,157.08,0.15%
005483,博时创新驱动混合C,混合型,2026-06-04,1.8754,1.8754,2.33,2.78,22.05,47.74,79.09,214.93,184.93,101.5,63.04,87.54,0.00%
020441,东兴数字经济混合发起C,混合型,2026-06-04,2.5646,2.5646,0.47,2.75,18.95,58.36,72.46,214.79,149.72,nan,55.67,156.46,0.00%
002152,华宝核心优势混合A,混合型,2026-06-04,6.46,6.46,-0.37,1.32,13.95,35.69,45.73,212.98,232.3,215.58,38.81,546.0,0.15%
010622,恒越成长精选混合A,混合型,2026-06-04,1.586,1.586,2.22,-2.29,22.1,45.71,99.87,211.9,200.61,114.47,79.84,58.6,0.15%
016461,华宝核心优势混合C,混合型,2026-06-04,6.343,6.343,-0.38,1.31,13.88,35.48,45.28,211.24,228.48,211.24,38.46,229.16,0.00%
010623,恒越成长精选混合C,混合型,2026-06-04,1.5609,1.5609,2.22,-2.29,22.07,45.61,99.58,211.0,198.79,112.54,79.62,56.09,0.00%
570008,诺德周期策略混合,混合型,2026-06-04,7.602,8.497,0.97,0.56,28.72,65.19,92.99,210.54,189.93,146.82,74.2,1197.77,0.15%
001808,银华互联网主题灵活配置混合A,混合型,2026-06-04,4.027,4.027,1.05,4.65,26.64,62.44,91.31,210.49,253.25,137.02,71.36,302.7,0.15%
011399,汇添富数字未来混合A,混合型,2026-06-04,1.7735,1.7735,2.07,5.8,32.78,63.47,84.7,210.16,207.47,162.24,70.84,77.35,0.15%
