# ts: 1780645794.4138129
基金代码,基金简称,基金类型,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
001416,嘉实事件驱动股票,股票型,2026-06-04,1.794,1.794,1.07,7.94,28.05,57.92,94.37,155.56,116.93,98.45,76.4,79.4,0.15%
000979,景顺长城沪港深精选股票A,股票型,2026-06-04,5.846,5.846,0.17,4.37,24.57,47.51,59.9,155.28,155.28,212.79,51.77,484.6,0.15%
016919,摩根智慧互联股票C,股票型,2026-06-04,2.0713,2.0713,1.24,1.66,15.9,44.57,55.69,154.49,216.28,120.19,45.72,138.49,0.00%
021313,景顺长城沪港深精选股票C,股票型,2026-06-04,5.765,5.765,0.17,4.36,24.51,47.29,59.39,153.74,152.19,nan,51.35,157.6,0.00%
017746,建信电子行业股票A,股票型,2026-06-04,2.8894,2.8894,2.21,-1.28,23.22,42.31,68.84,152.04,289.72,184.61,57.92,188.94,0.15%
010361,嘉实品质优选股票A,股票型,2026-06-04,1.1432,1.1432,0.19,1.62,24.83,50.05,66.09,151.97,127.23,92.13,58.29,14.32,0.15%
021937,华安半导体产业股票发起式A,股票型,2026-06-04,2.395,2.395,0.65,-1.83,12.43,37.65,71.01,151.58,nan,nan,57.55,139.5,0.15%
001070,建信信息产业股票A,股票型,2026-06-04,5.645,5.645,2.8,1.26,22.16,45.27,80.12,151.11,164.28,112.06,63.81,464.5,0.15%
017747,建信电子行业股票C,股票型,2026-06-04,2.8539,2.8539,2.21,-1.29,23.17,42.17,68.5,151.07,286.76,181.28,57.65,185.39,0.00%
014736,创金合信专精特新股票发起A,股票型,2026-06-04,2.8991,2.8991,3.34,-1.53,24.09,44.94,83.36,150.72,248.58,139.87,67.36,189.91,0.15%
010362,嘉实品质优选股票C,股票型,2026-06-04,1.1095,1.1095,0.2,1.61,24.78,49.83,65.65,150.51,124.6,88.75,57.94,10.95,0.00%
021938,华安半导体产业股票发起式C,股票型,2026-06-04,2.378,2.378,0.65,-1.84,12.35,37.46,70.55,150.08,nan,nan,57.19,137.8,0.00%
014863,建信信息产业股票C,股票型,2026-06-04,5.558,5.558,2.79,1.24,22.1,45.12,79.75,150.02,162.67,109.89,63.52,88.79,0.00%
014737,创金合信专精特新股票发起C,股票型,2026-06-04,2.8367,2.8367,3.33,-1.54,24.04,44.76,82.89,149.47,245.14,136.29,67.0,183.67,0.00%
001396,建信互联网+产业升级股票,股票型,2026-06-04,2.351,2.351,0.94,2.0,22.51,48.42,83.1,147.21,159.49,123.27,67.21,135.1,0.15%
001072,华安智能装备主题股票A,股票型,2026-06-04,5.209,5.262,1.46,-1.16,15.78,29.19,58.47,145.13,176.19,144.9,47.9,447.42,0.15%
013622,华安智能装备主题股票C,股票型,2026-06-04,5.063,5.063,1.46,-1.17,15.7,29.03,57.97,143.65,172.94,140.52,47.52,107.84,0.00%
001521,国寿安保成长优选股票A,股票型,2026-06-04,2.571,2.977,0.94,-5.13,16.86,36.9,78.54,141.86,136.96,98.07,66.62,241.41,0.15%
