ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
930050.CSI,20250217,1573.706,1582.9066,1583.5552,1565.052,1577.9581,-4.2521,-0.2695,43603754.16,120080567.589
930050.CSI,20250218,1563.5345,1572.8639,1584.6004,1559.1833,1573.706,-10.1715,-0.6463,39553423.81,104814283.344
930050.CSI,20250219,1576.0791,1560.3394,1578.8633,1560.3394,1563.5345,12.5446,0.8023,37786347.34,101694648.783
930050.CSI,20250220,1571.2373,1573.313,1574.6925,1564.2003,1576.0791,-4.8418,-0.3072,33899294.18,90373288.228
930050.CSI,20250221,1591.5877,1573.8845,1593.0319,1572.6661,1571.2373,20.3504,1.2952,49319323.55,148991344.316
930050.CSI,20250224,1588.262,1589.7608,1600.0036,1579.6734,1591.5877,-3.3257,-0.209,48102210.57,133913213.022
930050.CSI,20250225,1568.2672,1573.1995,1581.0165,1564.47,1588.262,-19.9948,-1.2589,39325197.3,109873179.513
930050.CSI,20250226,1579.685,1571.3478,1580.565,1567.7694,1568.2672,11.4178,0.7281,40543693.71,104206153.313
930050.CSI,20250227,1584.5465,1582.2039,1586.7047,1573.2042,1579.685,4.8615,0.3078,43021607.43,114432342.42
930050.CSI,20250228,1558.7178,1579.2412,1591.3166,1557.5877,1584.5465,-25.8287,-1.63,42377045.57,118063986.49
930050.CSI,20250303,1558.0725,1562.1744,1576.5948,1551.7914,1558.7178,-0.6453,-0.0414,39409754.22,101642302.104
930050.CSI,20250304,1549.422,1548.1467,1553.4075,1542.132,1558.0725,-8.6505,-0.5552,29293495.67,81566048.142
930050.CSI,20250305,1556.4232,1551.1994,1558.6097,1546.9832,1549.422,7.0012,0.4519,32142546.96,79516536.35
930050.CSI,20250306,1577.2264,1565.4115,1580.8805,1563.8578,1556.4232,20.8032,1.3366,40440169.38,105927086.614
930050.CSI,20250307,1573.1716,1573.3559,1581.9983,1570.142,1577.2264,-4.0548,-0.2571,34718258.01,88935209.822
930050.CSI,20250310,1566.2113,1574.6998,1576.9772,1557.9348,1573.1716,-6.9603,-0.4424,37561475.31,88356888.322
930050.CSI,20250311,1570.401,1551.3105,1570.401,1551.0508,1566.2113,4.1897,0.2675,32466135.96,80683609.55
930050.CSI,20250312,1565.4514,1571.9802,1574.1023,1559.3611,1570.401,-4.9496,-0.3152,33177064.62,86604629.706
930050.CSI,20250313,1561.6691,1565.3737,1573.0549,1557.0687,1565.4514,-3.7823,-0.2416,31980230.06,79561064.965
930050.CSI,20250314,1610.6406,1567.0526,1613.3406,1566.893,1561.6691,48.9715,3.1358,49311545.2,139560455.141
930050.CSI,20250317,1604.046,1619.8607,1620.2348,1602.2039,1610.6406,-6.5946,-0.4094,33339121.49,95144338.097
930050.CSI,20250318,1610.8717,1612.8401,1616.4279,1606.055,1604.046,6.8257,0.4255,30633918.71,89486950.749
930050.CSI,20250319,1622.2435,1611.8642,1627.5088,1608.2544,1610.8717,11.3718,0.7059,27621625.39,90033839.59
930050.CSI,20250320,1605.2888,1623.9098,1624.238,1602.863,1622.2435,-16.9547,-1.0451,28088080.27,80651385.778
930050.CSI,20250321,1576.1026,1601.1871,1607.759,1573.2773,1605.2888,-29.1862,-1.8181,35251641.26,97777853.211
930050.CSI,20250324,1587.3125,1577.8787,1588.5303,1577.8787,1576.1026,11.2099,0.7112,33615665.97,81446011.954
930050.CSI,20250325,1588.4756,1589.2387,1592.8594,1582.4565,1587.3125,1.1631,0.0733,27886159.59,64660787.567
930050.CSI,20250326,1581.293,1588.5032,1591.4186,1580.1373,1588.4756,-7.1826,-0.4522,29885639.82,70176900.788
930050.CSI,20250327,1591.324,1578.6144,1599.0589,1576.9744,1581.293,10.031,0.6344,26259394.98,69186687.678
930050.CSI,20250328,1585.633,1590.3159,1591.9073,1581.9885,1591.324,-5.691,-0.3576,23596261.54,60734352.385
930050.CSI,20250331,1573.7568,1582.3168,1592.7297,1569.225,1585.633,-11.8762,-0.749,30458388.81,76670455.001
930050.CSI,20250401,1569.5981,1575.5218,1578.2291,1568.2417,1573.7568,-4.1587,-0.2643,27161943.48,75701364.552
930050.CSI,20250402,1562.7642,1568.213,1571.9553,1560.327,1569.5981,-6.8339,-0.4354,23057325.52,64825422.073
930050.CSI,20250403,1552.8001,1544.694,1562.3253,1544.694,1562.7642,-9.9641,-0.6376,32585322.38,86800819.507
930050.CSI,20250407,1450.2479,1478.107,1488.8862,1419.413,1552.8001,-102.5522,-6.6043,68342279.98,177159261.393
930050.CSI,20250408,1475.7447,1456.1013,1475.7447,1447.8353,1450.2479,25.4968,1.7581,71680428.88,165540551.168
930050.CSI,20250409,1482.5553,1456.7377,1483.2291,1451.6712,1475.7447,6.8106,0.4615,63986990.37,153590423.405
930050.CSI,20250410,1503.4725,1509.1754,1511.4413,1492.3836,1482.5553,20.9172,1.4109,57057118.36,133251624.291
930050.CSI,20250411,1511.5445,1503.2928,1515.729,1492.3865,1503.4725,8.072,0.5369,41013959.99,101433590.342
930050.CSI,20250414,1512.8616,1520.4158,1521.8524,1511.8631,1511.5445,1.3171,0.0871,40014217.01,90879419.209
930050.CSI,20250415,1513.5837,1512.6741,1515.4034,1505.36,1512.8616,0.7221,0.0477,30501061.35,74713499.722
930050.CSI,20250416,1515.8273,1510.6365,1518.6944,1494.8175,1513.5837,2.2436,0.1482,35928726.09,83628123.199
930050.CSI,20250417,1516.5191,1509.2988,1519.3997,1506.4544,1515.8273,0.6918,0.0456,28606597.25,63170936.325
930050.CSI,20250418,1516.0899,1512.0212,1520.5627,1508.0508,1516.5191,-0.4292,-0.0283,21975931.09,52795570.669
930050.CSI,20250421,1521.1891,1513.4751,1523.7962,1510.8074,1516.0899,5.0992,0.3363,25638085.38,60708072.964
930050.CSI,20250422,1521.4731,1518.9736,1527.9476,1517.3455,1521.1891,0.284,0.0187,31391267.27,67368313.348
930050.CSI,20250423,1525.3096,1532.5877,1533.5443,1522.6788,1521.4731,3.8365,0.2522,30101527.92,77229525.946
930050.CSI,20250424,1527.0062,1526.8669,1536.9142,1522.5371,1525.3096,1.6966,0.1112,23136698.17,58857630.981
930050.CSI,20250425,1528.7526,1531.3954,1534.9659,1526.5782,1527.0062,1.7464,0.1144,28198090.2,62332633.503
930050.CSI,20250428,1524.3202,1526.9777,1528.1132,1519.0095,1528.7526,-4.4324,-0.2899,25084169.37,60420802.235
930050.CSI,20250429,1521.0358,1523.1159,1526.1317,1518.2942,1524.3202,-3.2844,-0.2155,22928995.82,58168377.499
930050.CSI,20250430,1520.9096,1523.8487,1527.2304,1519.9113,1521.0358,-0.1262,-0.0083,25612182.27,70448200.301
930050.CSI,20250506,1532.3189,1533.0048,1533.8184,1525.2961,1520.9096,11.4093,0.7502,29545211.59,72562416.923
930050.CSI,20250507,1542.1615,1554.3353,1554.7828,1536.2385,1532.3189,9.8426,0.6423,33180083.95,82500808.76
930050.CSI,20250508,1553.1114,1537.8288,1562.553,1535.7137,1542.1615,10.9499,0.71,26871411.71,72256866.078
930050.CSI,20250509,1553.2181,1551.1481,1556.0916,1549.0001,1553.1114,0.1067,0.0069,23674683.37,67003096.8
930050.CSI,20250512,1571.695,1561.4072,1572.0021,1558.0961,1553.2181,18.4769,1.1896,32205783.08,88597750.797
930050.CSI,20250513,1573.2313,1583.2409,1583.2409,1569.7792,1571.695,1.5363,0.0977,30918018.58,77098917.789
930050.CSI,20250514,1595.2636,1572.3931,1602.3824,1570.5783,1573.2313,22.0323,1.4004,32462286.54,89666020.085
930050.CSI,20250515,1585.3179,1592.0699,1593.7493,1583.5387,1595.2636,-9.9457,-0.6235,26050552.88,69737321.349
930050.CSI,20250516,1578.2243,1581.6562,1583.2732,1571.7779,1585.3179,-7.0936,-0.4475,22305161.36,61898573.293
930050.CSI,20250519,1572.3581,1575.1815,1576.2741,1567.0609,1578.2243,-5.8662,-0.3717,19003855.68,55255015.122
930050.CSI,20250520,1583.2934,1576.7972,1590.5673,1574.1462,1572.3581,10.9353,0.6955,20724058.77,63140757.602
930050.CSI,20250521,1593.6719,1584.566,1600.668,1584.3928,1583.2934,10.3785,0.6555,23942688.05,75036266.564
930050.CSI,20250522,1593.1759,1593.2964,1595.9512,1585.3148,1593.6719,-0.496,-0.0311,20713242.95,56886271.003
930050.CSI,20250523,1580.9964,1592.127,1601.7696,1580.9964,1593.1759,-12.1795,-0.7645,23800469.43,70289652.66
930050.CSI,20250526,1566.4441,1577.0011,1580.213,1561.5505,1580.9964,-14.5523,-0.9205,21150325.25,69125706.69
930050.CSI,20250527,1555.6373,1564.8455,1568.4772,1554.0541,1566.4441,-10.8068,-0.6899,21133269.67,55539477.201
930050.CSI,20250528,1554.1686,1557.7195,1561.9863,1553.4658,1555.6373,-1.4687,-0.0944,17907018.23,46773997.838
930050.CSI,20250529,1558.6954,1553.7152,1566.1462,1548.5499,1554.1686,4.5268,0.2913,21370263.96,61571925.581
930050.CSI,20250530,1548.8814,1555.4289,1559.9078,1544.3098,1558.6954,-9.814,-0.6296,23035707.13,63270781.075
930050.CSI,20250603,1551.5651,1548.1611,1557.347,1546.0206,1548.8814,2.6837,0.1733,24822992.96,67694347.28
930050.CSI,20250604,1555.0545,1552.9246,1559.7762,1551.9644,1551.5651,3.4894,0.2249,26455324.39,59000159.905
930050.CSI,20250605,1557.4437,1556.8317,1559.6835,1551.0252,1555.0545,2.3892,0.1536,25633452.15,62167245.748
930050.CSI,20250606,1554.1622,1556.9608,1561.2157,1552.2406,1557.4437,-3.2815,-0.2107,23005797.28,56743231.556
930050.CSI,20250609,1551.6803,1553.6939,1559.9331,1549.5761,1554.1622,-2.4819,-0.1597,26742238.93,76481026.357
930050.CSI,20250610,1544.2045,1551.604,1556.089,1539.643,1551.6803,-7.4758,-0.4818,26334849.25,68661772.491
930050.CSI,20250611,1560.8695,1546.602,1567.1588,1546.5676,1544.2045,16.665,1.0792,27826119.12,73356693.067
930050.CSI,20250612,1555.9292,1556.3911,1559.9862,1547.7136,1560.8695,-4.9403,-0.3165,24800994.26,69668484.955
930050.CSI,20250613,1545.6897,1550.5492,1554.8681,1540.2443,1555.9292,-10.2395,-0.6581,30937417.29,85165952.985
930050.CSI,20250616,1544.7537,1540.3356,1546.2595,1539.042,1545.6897,-0.936,-0.0606,25269055.79,62526295.67
930050.CSI,20250617,1544.2197,1545.7236,1549.0159,1539.8122,1544.7537,-0.534,-0.0346,25523179.97,60171858.484
930050.CSI,20250618,1539.8597,1544.6205,1548.5638,1535.9553,1544.2197,-4.36,-0.2823,26011251.99,58000069.768
930050.CSI,20250619,1526.9522,1538.5951,1538.7466,1524.3225,1539.8597,-12.9075,-0.8382,26747685.29,60737862.337
930050.CSI,20250620,1531.2007,1526.3202,1535.8196,1526.3202,1526.9522,4.2485,0.2782,24263463.82,58057288.887
930050.CSI,20250623,1532.7488,1525.5725,1536.6613,1521.9641,1531.2007,1.5481,0.1011,24663752.38,59923437.232
930050.CSI,20250624,1553.0677,1535.3627,1558.3924,1535.3627,1532.7488,20.3189,1.3257,30904162.55,79107104.618
930050.CSI,20250625,1574.9096,1554.0705,1576.6695,1551.4523,1553.0677,21.8419,1.4064,33167475.97,89624295.911
930050.CSI,20250626,1565.3236,1570.4621,1573.9164,1564.8557,1574.9096,-9.586,-0.6087,28736928.19,76566803.774
930050.CSI,20250627,1554.9036,1567.593,1573.2841,1553.53,1565.3236,-10.42,-0.6657,33941793.63,87086354.676
930050.CSI,20250630,1558.2626,1553.1449,1560.4347,1548.9308,1554.9036,3.359,0.216,27886679.63,77143121.021
930050.CSI,20250701,1559.1191,1558.8973,1561.041,1552.5351,1558.2626,0.8565,0.055,22485597.05,56414879.565
930050.CSI,20250702,1560.6543,1560.2489,1564.3957,1554.3324,1559.1191,1.5352,0.0985,28252836.44,64637142.864
930050.CSI,20250703,1571.6216,1563.2311,1573.201,1561.4266,1560.6543,10.9673,0.7027,27860645.67,74142900.477
930050.CSI,20250704,1577.6164,1571.378,1590.7683,1566.4391,1571.6216,5.9948,0.3814,29287846.7,74714938.45
930050.CSI,20250707,1566.0459,1575.4041,1576.0184,1563.4897,1577.6164,-11.5705,-0.7334,27106925.37,61262429.45
930050.CSI,20250708,1575.3985,1565.9247,1578.305,1565.709,1566.0459,9.3526,0.5972,32250281.67,74562709.183
930050.CSI,20250709,1575.6462,1574.1056,1585.9226,1573.3484,1575.3985,0.2477,0.0157,39282787.58,92139371.073
930050.CSI,20250710,1585.688,1578.9802,1594.9925,1577.1343,1575.6462,10.0418,0.6373,48782092.39,112016572.005
930050.CSI,20250711,1589.5381,1583.5975,1608.6515,1583.4341,1585.688,3.8501,0.2428,51504776.21,128004200.837
930050.CSI,20250714,1587.3783,1592.3742,1593.9315,1587.3783,1589.5381,-2.1598,-0.1359,41213495.63,97452493.052
930050.CSI,20250715,1583.0383,1587.0709,1592.7065,1573.8522,1587.3783,-4.34,-0.2734,39034820.44,92651494.294
930050.CSI,20250716,1577.6957,1584.0285,1586.3331,1572.9295,1583.0383,-5.3426,-0.3375,28057013.16,70071048.694
930050.CSI,20250717,1588.1115,1577.4921,1588.1115,1577.4921,1577.6957,10.4158,0.6602,35994064.7,88779789.22
930050.CSI,20250718,1602.2561,1591.3255,1603.0215,1590.6605,1588.1115,14.1446,0.8907,41069828.89,111829956.047
930050.CSI,20250721,1616.4544,1608.8832,1616.9845,1606.4502,1602.2561,14.1983,0.8861,48039827.22,119168366.282
930050.CSI,20250722,1632.9414,1617.437,1633.0101,1610.8163,1616.4544,16.487,1.0199,55352431.16,141516511.055
930050.CSI,20250723,1634.1496,1637.4878,1648.1258,1631.6354,1632.9414,1.2082,0.074,53122052.89,138130408.354
930050.CSI,20250724,1646.9464,1633.0011,1648.3545,1630.9565,1634.1496,12.7968,0.7831,48965750.62,136900106.461
930050.CSI,20250725,1634.7955,1645.592,1645.6351,1632.0267,1646.9464,-12.1509,-0.7378,42685299.19,121584615.198
