板块代码,板块名称,交易日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余额,融券卖出量,融券偿还量,融券净卖出,板块类型
151,福建板块,2026-01-27 00:00:00,102945675084,9973349451,9406206894,567142557,411187374.12,760537,561890,14512542.0053,财富通地域
893,无线耳机,2026-01-27 00:00:00,102587157058,10837268426,10629390880,207877546,319799099.68,638263,599204,-3787021.5341,财富通概念
680,智能家居,2026-01-27 00:00:00,102439091870,7722085511,7836019839,-113934328,431609401.63,761966,968800,-11249721.7954,财富通概念
859,超清视频,2026-01-27 00:00:00,101949345355,9800918834,9893183134,-92264300,422746107.97,1302338,1715549,4535037.5307,财富通概念
1135,数据要素,2026-01-27 00:00:00,101148562735,8412789454,8752962852,-340173398,211681325.88,1090700,945950,1967741.705,财富通概念
1197,反内卷概念,2026-01-27 00:00:00,100479095903,10070013221,9190270508,879742713,461702524.5,2168853,3010418,-10029106.9923,财富通概念
519,稀缺资源,2026-01-27 00:00:00,98858417767,16803158281,16193649866,609508415,660317735.8,4055795,2373000,21309739.8725,财富通概念
737,软件开发,2026-01-27 00:00:00,98759538123,7679549623,8302748890,-623199267,315883177.72,719884,1016200,-11748682.6179,财富通行业
447,互联网服务,2026-01-27 00:00:00,97728586641,11948153536,11153116482,795037054,191524200.0,1181100,2235606,-16475914.2076,财富通行业
169,四川板块,2026-01-27 00:00:00,96081201582,9048833621,8871056325,177777296,406947908.34,2044585,1353299,6172388.5268,财富通地域
837,互联医疗,2026-01-27 00:00:00,93439389102,5448462514,5590948097,-142485583,330658719.28,1816000,1742772,2950719.1856,财富通概念
1061,数字经济,2026-01-27 00:00:00,93314751255,7726700776,7610768719,115932057,260318180.21,506100,1863600,-15958704.44,财富通概念
953,鸿蒙概念,2026-01-27 00:00:00,93298959968,5668477955,6358247078,-689769123,280589875.02,1333900,1442200,-15267108.07,财富通概念
149,安徽板块,2026-01-27 00:00:00,91824092579,7591284942,8350293046,-759008104,242905233.88,1156676,1186840,-783397.468,财富通地域
1155,小米汽车,2026-01-27 00:00:00,91505891978,7402471700,7636267081,-233795381,343870355.15,864441,520080,17921516.9195,财富通概念
524,参股期货,2026-01-27 00:00:00,89900014063,4445977375,4218307447,227669928,159246796.78,1428700,1601250,-5667424.22,财富通概念
1071,跨境支付,2026-01-27 00:00:00,89766083087,4779660690,4729319668,50341022,297507663.64,2571300,2720499,-4999208.9645,财富通概念
809,AI智能体,2026-01-27 00:00:00,89441381233,11677102942,11785421143,-108318201,365155868.85,2018388,2332935,-9588638.6036,财富通概念
812,贬值受益,2026-01-27 00:00:00,88191903216,13400989694,13387442396,13547298,387806645.61,1166476,620098,18244971.4701,财富通概念
1173,锂矿概念,2026-01-27 00:00:00,87254546591,9352387826,8561054729,791333097,374323437.38,1557900,636900,-2999923.82,财富通概念
921,卫星互联网,2026-01-27 00:00:00,86251342233,12215994480,12193518318,22476162,380036124.63,1044555,1160619,-9863302.487,财富通概念
1161,英伟达概念,2026-01-27 00:00:00,86110388812,7774646484,7365051275,409595209,328319129.33,354739,321168,-3317949.2147,财富通概念
877,PCB,2026-01-27 00:00:00,85513017930,9891567041,10144890709,-253323668,314623465.77,871326,721440,9166515.9279,财富通概念
952,第三代半导体,2026-01-27 00:00:00,85321949122,11202588077,11168188597,34399480,364942131.76,1103916,1343030,-728794.7762,财富通概念
682,燃料电池,2026-01-27 00:00:00,85095294147,8255001042,8590148470,-335147428,264035676.35,1092000,1262152,-1363300.8014,财富通概念
535,QFII重仓,2026-01-27 00:00:00,84550891061,10726223560,10785838682,-59615122,310793666.07,1103156,743344,9599152.064,财富通概念
475,银行,2026-01-27 00:00:00,83657384564,3420813715,3223281756,197531959,275574228.08,3181600,3281699,2714225.7755,财富通行业
984,华为汽车,2026-01-27 00:00:00,83656189016,5836833452,6011172026,-174338574,182167504.28,508420,587000,-6873495.42,财富通概念
935,中芯概念,2026-01-27 00:00:00,83195331906,10296156310,10260779599,35376711,384804154.77,483270,951530,-3112210.9166,财富通概念
581,智能电网,2026-01-27 00:00:00,81685327698,9804351576,10783447705,-979096129,345660897.02,997436,1468304,-15755749.2367,财富通概念
937,蚂蚁概念,2026-01-27 00:00:00,81614779323,4352818748,4819760448,-466941700,352013534.74,1849500,2230251,-21529773.5215,财富通概念
969,汽车芯片,2026-01-27 00:00:00,81066192572,10680940326,10838556941,-157616615,298042262.67,641617,737005,8103502.588,财富通概念
653,养老概念,2026-01-27 00:00:00,80529728890,4226533800,4747322630,-520788830,282497454.67,1899800,1422518,13438818.4896,财富通概念
1106,创新药,2026-01-27 00:00:00,78235934688,5459392147,5272141090,187251057,290811518.39,1543673,674233,10012770.2358,财富通概念
811,超级品牌,2026-01-27 00:00:00,77752091474,2467561092,2282133906,185427186,553872818.81,682200,325000,23641094.34,财富通概念
1024,绿色电力,2026-01-27 00:00:00,77550954599,8005526805,7232004609,773522196,316412800.34,2743900,2478500,4942218.16,财富通概念
547,黄金概念,2026-01-27 00:00:00,76374299846,16213865736,15817952736,395913000,472766073.88,4002500,2268200,22513519.81,财富通概念
940,网红经济,2026-01-27 00:00:00,74166856084,7857120101,7509772202,347347899,238175885.72,1747600,2571804,-10117232.7144,财富通概念
823,养老金,2026-01-27 00:00:00,74048873233,9333698541,9348632627,-14934086,362115878.5,1926580,1570779,4727942.6509,财富通概念
697,IPO受益,2026-01-27 00:00:00,73909653049,3290085337,3477688686,-187603349,185014654.0,849500,1083000,-2226837.56,财富通概念
1198,2025三季报预增,2026-01-27 00:00:00,73289408233,7289397073,8163112787,-873715714,254532104.18,686724,868501,-3772734.0732,财富通概念
1037,消费电子,2026-01-27 00:00:00,72276257135,7960145396,7705796302,254349094,279744410.13,527100,382179,2585526.5584,财富通行业
905,传感器,2026-01-27 00:00:00,71178466623,7662015097,7937213993,-275198896,275736279.48,1071990,953552,2068585.9843,财富通概念
1033,电池,2026-01-27 00:00:00,70467565985,5605486595,5610199912,-4713317,171097612.6,174737,278665,-6338107.3827,财富通行业
478,有色金属,2026-01-27 00:00:00,70165442586,13992293137,13229951142,762341995,405471620.44,3023220,2319116,20699803.1,财富通行业
813,雄安新区,2026-01-27 00:00:00,69424501410,5194538657,5723987212,-529448555,201470197.25,1146400,1857651,-6359173.8176,财富通概念
814,大飞机,2026-01-27 00:00:00,68718772594,8168363237,9109354368,-940991131,310797214.05,901400,1107526,3561996.817,财富通概念
923,抖音概念(字节概念),2026-01-27 00:00:00,68673142368,9947669261,9790108674,157560587,268280815.22,1741310,1882475,-1849735.511,财富通概念
