date,code,close,open,high,low,volume
2021-03-15,sh000300,5035.544,5116.123,5120.876,4992.399,20415308400.0
2021-03-16,sh000300,5079.362,5054.409,5084.309,5009.951,16139005400.0
2021-03-17,sh000300,5100.858,5062.771,5123.545,5020.126,14916237600.0
2021-03-18,sh000300,5141.768,5114.587,5160.457,5111.129,14290151800.0
2021-03-19,sh000300,5007.091,5068.532,5089.918,4980.761,16417484900.0
2021-03-22,sh000300,5057.152,5008.395,5071.338,4996.541,16740263200.0
2021-03-23,sh000300,5009.246,5057.063,5064.02,4966.534,15801396700.0
2021-03-24,sh000300,4928.685,4985.401,5024.327,4919.893,15938598200.0
2021-03-25,sh000300,4926.347,4904.068,4950.761,4883.662,13294518900.0
2021-03-26,sh000300,5037.99,4953.945,5050.829,4953.945,14592669700.0
2021-03-29,sh000300,5046.877,5052.263,5086.654,5010.39,14338821500.0
2021-03-30,sh000300,5094.729,5043.095,5106.037,5032.795,13861856000.0
2021-03-31,sh000300,5048.361,5085.95,5085.95,5015.607,14133574300.0
2021-04-01,sh000300,5110.777,5059.936,5115.429,5056.872,12032489000.0
2021-04-02,sh000300,5161.557,5129.855,5169.831,5116.347,12700225400.0
2021-04-06,sh000300,5140.342,5178.64,5181.149,5125.33,10983421000.0
2021-04-07,sh000300,5103.743,5141.656,5141.656,5065.193,14576374800.0
2021-04-08,sh000300,5112.209,5078.263,5129.132,5062.073,14177104700.0
2021-04-09,sh000300,5035.337,5100.042,5100.042,5022.093,12841650900.0
2021-04-12,sh000300,4947.746,5026.979,5045.602,4933.013,15264431400.0
2021-04-13,sh000300,4939.644,4949.807,4994.54,4924.198,13291935800.0
2021-04-14,sh000300,4980.628,4945.686,4987.119,4940.269,12086083800.0
2021-04-15,sh000300,4948.974,4969.91,4969.91,4900.303,10882938400.0
2021-04-16,sh000300,4966.181,4966.9,4979.173,4917.96,11123992400.0
2021-04-19,sh000300,5087.017,4966.409,5088.211,4940.747,15476982400.0
2021-04-20,sh000300,5083.365,5065.776,5119.859,5058.925,13654170000.0
2021-04-21,sh000300,5098.745,5055.24,5110.562,5047.992,12463727700.0
2021-04-22,sh000300,5089.244,5114.28,5119.225,5067.138,12116764500.0
2021-04-23,sh000300,5135.453,5088.826,5149.983,5086.491,12205699100.0
2021-04-26,sh000300,5077.237,5156.594,5181.107,5072.959,15138196700.0
2021-04-27,sh000300,5090.52,5076.642,5095.984,5042.61,12396183700.0
2021-04-28,sh000300,5119.242,5073.973,5119.446,5059.263,12062031800.0
2021-04-29,sh000300,5164.169,5128.28,5170.585,5113.648,14009248000.0
2021-04-30,sh000300,5123.489,5156.356,5163.252,5094.929,16012162100.0
2021-05-06,sh000300,5061.124,5098.801,5132.899,5037.408,15882263000.0
2021-05-07,sh000300,4996.053,5073.455,5093.747,4996.037,17225832100.0
2021-05-10,sh000300,4992.422,5001.437,5019.393,4953.697,17082058500.0
2021-05-11,sh000300,5023.06,4956.079,5033.494,4925.915,15152649700.0
2021-05-12,sh000300,5044.548,5003.817,5051.168,4995.405,12661908600.0
2021-05-13,sh000300,4992.974,4992.352,5022.084,4975.446,13227940600.0
2021-05-14,sh000300,5110.59,5007.629,5112.984,4981.295,15942618000.0
