trade_date,index_code,index_name,stock_count,coverage,total_vol,top5_vol,vol_concentration_pct,total_amount,top5_amount,amount_concentration_pct
20230829,000852,中证1000,725,93.9,124663579.02,36441010.58,29.231481132234865,142993636.811,35988870.812,25.168162454367
20230829,399330,深证100,98,98.0,51853619.99,17004950.48,32.794143366035804,121598324.44,32455759.767,26.690959695760096
20230830,000001,上证指数,421,97.2,92692468.39,33605970.71,36.25534123075045,118278322.623,43378705.263,36.67511028311178
20230830,399001,深证成指,392,93.3,72585104.54,27484499.6,37.86520633149177,123346226.225,46728213.215,37.88378018940077
20230830,000300,沪深300,285,99.0,134193655.38,36691487.74,27.34219262162557,236790508.522,59469429.792,25.114786130236617
20230830,000016,上证50,49,98.0,36931047.79,9198788.33,24.90800797829192,64991820.608,12756879.907,19.628439067653574
20230830,399006,创业板,96,96.0,21997323.77,9758801.35,44.36358464346047,65013494.569,20839167.063,32.05360241154706
20230830,000688,科创50,47,94.0,6607980.89,2654485.92,40.170907939777656,26572050.351,8065843.323000001,30.35461402660053
20230830,STAR,科创板,83,95.4,4153855.74,2428569.04,58.46541603777506,12264258.21,3176068.858,25.89695033826265
20230830,000905,中证500,411,95.8,107122415.3,38748947.93,36.17258612166487,124209163.592,35618156.544,28.67594911193338
20230830,000852,中证1000,725,93.9,115959984.34,31291163.18,26.984449297830945,142123904.211,39247082.892,27.614695156230013
20230830,399330,深证100,98,98.0,44749099.06,14794780.12,33.06162678306221,101774813.032,23795285.815,23.380328694407225
20230831,000001,上证指数,421,97.2,83427820.07,30155779.09,36.14595115238279,102448875.849,35294077.018,34.450428787544865
20230831,399001,深证成指,392,93.3,58497485.79,22560169.72,38.56605017348729,98869650.061,38906060.824,39.35086328311668
20230831,000300,沪深300,285,99.0,120113629.84,31951186.78,26.600800277671468,198132615.152,43489955.815,21.94992267256762
20230831,000016,上证50,49,98.0,30574680.75,7280488.899999999,23.81215018900892,54971315.254,8945082.401999999,16.272272840241182
20230831,399006,创业板,96,96.0,17000236.24,6618270.38,38.930461239284526,48227496.887,13358387.656,27.698695802727485
20230831,000688,科创50,47,94.0,6344605.87,3009704.45,47.437216931490816,24343713.161,7414646.962,30.458159414557525
20230831,STAR,科创板,83,95.4,3714003.73,2258608.89,60.81331776153063,10685081.622,2880641.219,26.95946854602324
20230831,000905,中证500,411,95.8,94341981.35,35907608.81,38.06111372283576,103347083.846,27573959.212,26.68092623986239
20230831,000852,中证1000,725,93.9,95211709.57,27307525.54,28.680847831981644,115921952.012,35066972.657,30.25050221149652
20230831,399330,深证100,98,98.0,38769413.62,12855242.09,33.15820614673511,81444320.753,17673586.987,21.70020797472117
20230901,000001,上证指数,422,97.5,81948397.98,30865946.61,37.66510068632826,100073088.097,37160456.809,37.1333167744166
20230901,399001,深证成指,392,93.3,53417580.9,20350963.19,38.09787498257901,87982761.008,33478600.948,38.0513188770649
20230901,000300,沪深300,285,99.0,110169997.67,30702587.27,27.868374257359648,180101458.005,38989844.799,21.648822408710075
20230901,000016,上证50,49,98.0,32257757.7,7856790.390000001,24.356281868903743,54812862.758,8976541.258,16.376705770015384
20230901,399006,创业板,96,96.0,13374906.89,5075692.14,37.94936429647174,39899214.458,12415343.289,31.11676121360495
20230901,000688,科创50,47,94.0,4061282.02,1598216.43,39.352510417387855,18185464.469,5591012.795,30.744404711415346
20230901,STAR,科创板,83,95.4,2442087.06,1395116.61,57.12804563159186,7821996.914,2275077.726,29.08563824575296
20230901,000905,中证500,411,95.8,85052767.96,31534005.56,37.07581342306265,93262982.879,26353616.13,28.25731637191077
20230901,000852,中证1000,725,93.9,85716719.78,24017002.87,28.019041012817443,100686101.776,29581434.748,29.37985901352193
20230901,399330,深证100,98,98.0,33256683.94,10442032.64,31.39829773419076,71639497.992,15494108.855,21.627885858064264
20230904,000001,上证指数,422,97.5,100579803.88,38180267.98,37.960173421646566,125411392.727,47217274.12,37.64990810905374
20230904,399001,深证成指,392,93.3,67099846.09,23616664.21,35.19630161047363,114303781.113,44063183.451,38.54919148076073
20230904,000300,沪深300,285,99.0,147042453.41,37984058.2,25.832035115796565,237866370.761,53104539.701,22.32536677257233
20230904,000016,上证50,49,98.0,44109401.14,9086307.22,20.599479895817964,77866418.77600001,12858231.914,16.513192870715617
20230904,399006,创业板,96,96.0,15415756.67,5485976.029999999,35.58680995968263,46229069.728,12735291.281,27.548231785608472
20230904,000688,科创50,47,94.0,4370264.71,1609484.2,36.82807122225783,19487316.984,6434841.688999999,33.02066515510219
20230904,STAR,科创板,83,95.4,2272685.79,1024601.58,45.08329239828617,7982119.528,1660390.713,20.801376215623115
20230904,000905,中证500,411,95.8,104815199.21,34261197.35,32.687241552970576,114390815.798,26445938.061,23.118934747086904
20230904,000852,中证1000,725,93.9,106972488.59,29821705.79,27.87792093376408,120214250.972,31957982.287,26.584187838464818
20230904,399330,深证100,98,98.0,41959789.23,12322337.33,29.367014363336928,92072239.973,20605389.213,22.37958935184208
20230905,000001,上证指数,422,97.5,74272619.36,26086130.58,35.12213626607176,96425641.592,35993182.452,37.327397420175615
20230905,399001,深证成指,392,93.3,55964312.68,19231292.31,34.363492356214884,97770456.414,38073821.928,38.9420519494968
20230905,000300,沪深300,285,99.0,107887352.56,29726268.95,27.553061822949232,186310624.976,45359459.089,24.346147244604584
20230905,000016,上证50,49,98.0,28444844.74,6132779.26,21.560248670916103,59375080.16,14599008.103,24.5877699257998
20230905,399006,创业板,96,96.0,15904127.65,5484633.28,34.48559644829058,50811318.423,13266584.47,26.109506467745607
20230905,000688,科创50,47,94.0,4573321.69,1716826.52,37.54003405782724,21354761.938,7994519.193,37.43670482588735
20230905,STAR,科创板,83,95.4,1983405.25,872191.55,43.97445000208607,7616550.887,1964871.631,25.79739386174996
20230905,000905,中证500,411,95.8,84834042.15,28678353.87,33.80524273415162,97483258.661,26099856.194,26.773680478576097
20230905,000852,中证1000,725,93.9,93550446.5,27059504.33,28.925040277600388,113073516.971,31686851.735,28.02323000453478
