trade_date,stock_count,gain_k,gain_top5_amount,gain_share_pct,loss_k,loss_top5_amount,loss_share_pct
20231121,5206,261,83541280.302,8.409266026752414,261,144304812.68300003,14.52572374286406
20231122,5206,261,59846714.967,6.833384510655814,261,129787551.502,14.8193304277227
20231123,5208,261,119679872.886,14.478440396447317,261,103005889.948,12.46128193598364
20231124,5209,261,57113386.053,6.979268582284662,261,113459422.463,13.864766866130926
20231127,5209,261,52816945.49299999,6.235953768266259,261,118849719.428,14.032264622774337
20231128,5207,261,130696198.742,16.653979552574068,261,68733776.273,8.758410081087455
20231129,5209,261,112709855.126,14.388131274154784,261,50260530.984,6.41607707594061
20231130,5209,261,123050880.79999998,15.887607593961173,261,71814145.817,9.272221060249446
20231201,5212,261,145538389.038,17.466490636567737,261,58848654.666,7.062600338594641
20231204,5210,261,121980953.739,14.41885286731462,261,77374335.796,9.146093134636816
20231205,5212,261,50575778.49,6.120984612162172,261,108841711.971,13.172677989872266
20231206,5213,261,137103312.504,16.70413042083851,261,87912925.031,10.710966340454966
20231207,5212,261,108911667.733,13.21683855847863,261,102593298.388,12.450080787489116
20231208,5215,261,172054809.95400003,17.8387857644797,261,72249180.784,7.49085514092584
20231211,5216,261,120316708.822,13.182303865566269,261,47047625.015,5.154696261002973
20231212,5217,261,94848752.719,12.029372644285166,261,92528144.192,11.7350570741533
20231213,5219,261,81734771.596,10.56788268610753,261,99126644.215,12.816561748156962
20231214,5220,261,72129342.132,9.670929567406311,261,113708538.7,15.2457687326186
20231215,5220,261,102703927.15,13.929159055050338,261,76980696.094,10.440461137340437
20231218,5220,261,77966309.125,11.172724119549066,261,84973819.993,12.176914090468198
20231219,5218,261,91191677.602,14.05551610610314,261,69861930.924,10.767928840956111
20231220,5221,262,65659225.653,9.75812798185512,262,119296562.444,17.729589597600352
20231221,5222,262,130192782.164,17.468926361880076,262,42391887.77399999,5.68803242050894
20231222,5222,262,100496077.883,12.844696462986793,262,120291477.635,15.37480417001538
20231225,5223,262,74089245.63800001,12.027379926318622,262,76456039.49599999,12.41159667319346
20231226,5225,262,90427579.419,14.584858561107788,262,65949187.125,10.636794356524115
20231227,5227,262,85574350.29500002,13.267403490066815,262,81986209.213,12.711099932399485
20231228,5226,262,134267396.619,15.051886190183438,262,92653879.888,10.38685258127476
20231229,5229,262,97159485.91799998,11.679681170969262,262,84688892.88100001,10.180573293762132
20240102,5229,262,64030938.988,7.992117699246013,262,103710817.533,12.944821261548276
20240103,5230,262,93649304.815,12.519003521958885,262,95000729.847,12.69966150728716
20240104,5230,262,80606400.258,11.827129574840855,262,101189106.016,14.847166783071462
20240105,5232,262,103882599.558,13.931185827578137,262,71760500.512,9.623448700420012
20240108,5232,262,102220531.784,15.439247065127471,262,46047664.84,6.954975305149244
20240109,5232,262,79120249.288,11.65059316204613,262,56239828.638,8.281411760717313
20240110,5234,262,81045985.955,12.515634751447688,262,90453806.66,13.96845004345072
20240111,5236,262,109657177.64400002,15.431231705102402,262,73790952.87799999,10.384047046126168
20240112,5234,262,80836393.872,11.925045338738032,262,40065427.312,5.910481830350506
20240115,5235,262,84048759.336,13.810029512651544,262,36399286.552,5.980757187777706
20240116,5237,262,46102058.294,6.714207472832455,262,64337694.60000001,9.370007454186757
20240117,5237,262,82835816.586,12.944096266466362,262,77536135.214,12.115957078757065
20240118,5240,262,142078547.26,16.402914232099096,262,49933776.717,5.764835526329535
20240119,5241,263,54058012.025000006,8.046280304329024,263,84811861.687,12.623845877831934
20240122,5242,263,167684941.998,21.066223597414904,263,51358633.679000005,6.452174225354368
20240123,5242,263,112007115.211,15.889699490301725,263,36447170.863,5.170516097961919
20240124,5244,263,86510786.46599999,11.255017870418058,263,70286351.888,9.144225579972456
20240125,5245,263,77290241.185,8.673903255094249,263,54171103.163,6.079356214362318
20240126,5245,263,77086911.389,9.314915150476985,263,88207328.486,10.658667803553833
20240129,5246,263,124354038.252,15.464239521976095,263,78010082.928,9.7010649954378
20240130,5246,263,72366515.573,10.914715798317896,263,69484483.104,10.480031813997448
20240131,5246,263,77841761.937,10.28215343533786,263,51893105.339,6.854583684315715
20240201,5246,263,109548064.588,15.592995405567583,263,44470646.631,6.329920945730351
20240202,5247,263,93912737.952,11.665395522939228,263,38869737.394,4.828214685909225
20240205,5247,263,151866864.521,17.31558033708404,263,19923929.373,2.27168975126147
20240206,5249,263,52300217.17,5.646417525884654,263,29103051.66,3.142013357527909
20240207,5250,263,84730975.86,8.283941423298282,263,23337327.856,2.2816337823706885
20240208,5252,263,25988079.532,2.563349067482716,263,99107673.585,9.77554198845951
20240219,5252,263,88484158.91499999,9.27560562225896,263,68441805.764,7.174608496329336
20240220,5252,263,72721324.241,9.217772056042763,263,83127821.867,10.536844886734372
20240221,5252,263,59128870.976,6.046175705366498,263,107116926.49,10.953156180510245
20240222,5252,263,79566798.619,9.705203834073162,263,32729955.244,3.992254214526848
20240223,5251,263,76211824.87499999,8.295009338048612,263,53622973.461,5.836404866600145
20240226,5250,263,72010009.33,7.311720318153412,263,117059849.184,11.885970932127735
20240227,5251,263,130742645.553,13.211534491412474,263,81037319.966,8.188815082439422
20240228,5251,263,135019273.54700002,9.986769455198656,263,42239269.103,3.1242490898228463
20240229,5251,263,137180789.782,13.05413887602009,263,90898254.164,8.649887752726187
20240301,5252,263,167254953.509,15.86037480188299,263,65488038.141,6.210069167849057
20240304,5252,263,142791056.76,13.28736866627072,263,47181727.175,4.390478069921028
20240305,5252,263,142491029.775,13.368815837006748,263,45575165.622,4.275960366794247
20240306,5251,263,96276307.406,10.34914744717368,263,106044443.817,11.399165740617752
20240307,5251,263,87102422.56100002,8.90458878737832,263,120009528.237,12.26872305152431
20240308,5253,263,149916561.009,17.53320309877958,263,56253007.11,6.578962270335903
20240311,5252,263,139348032.311,13.925281166394075,263,98167764.69900002,9.81006837512466
20240312,5254,263,108420990.421,9.512757096098005,263,172520963.44,15.136829250654504
20240313,5256,263,134291385.66799998,12.80357894155322,263,78229166.349,7.458507497700149
20240314,5256,263,119831701.774,11.951530599126372,263,124783526.588,12.445405633110704
20240315,5255,263,101528134.182,10.75856267224652,263,112402906.293,11.91092224474554
20240318,5254,263,142283519.063,12.550993175398576,263,74830233.417,6.600861119511636
20240319,5256,263,122644654.129,11.422847978023889,263,110443508.548,10.28646064733023
20240320,5257,263,126031497.261,12.678204112873631,263,98705872.352,9.929368642081124
20240321,5257,263,130628396.824,12.307341883049055,263,84604055.61,7.971092522000991
20240322,5257,263,178676223.607,16.39907082826521,263,95040239.205,8.722881997361638
20240325,5258,263,114612797.225,11.054824184486533,263,106348405.503,10.257693325712696
20240326,5258,263,98829431.479,10.401305093266298,263,149895353.604,15.775738882293666
20240327,5259,263,74964017.84,8.484860516707734,263,92080079.172,10.42215519730239
20240328,5260,263,134372130.589,14.5101199322297,263,72077733.07,7.783284723585047
20240329,5260,263,107129768.393,12.564769899120284,263,109661255.381,12.861676650473958
20240401,5262,264,109112424.505,10.980294474374496,264,86143968.532,8.6689132421328
20240402,5263,264,95100134.613,9.8960431608309,264,120099513.536,12.497458330459438
20240403,5262,264,113180664.73499998,12.413640918905392,264,89224295.241,9.786109358497692
20240408,5265,264,117997538.525,12.741451705896209,264,51259022.439,5.534982907796792
20240409,5266,264,88306230.924,11.16115273218805,264,100053386.634,12.64589279725713
20240410,5266,264,96813278.611,11.68117856759826,264,71472253.45,8.62361204120228
20240411,5267,264,102099924.052,12.591354960377704,264,76287392.94,9.408054437142708
20240412,5267,264,114359328.12,14.16522845392213,264,74012479.765,9.167627176091823
20240415,5267,264,159200157.94,16.048741635673412,264,32847811.459,3.311341183477243
20240416,5267,264,146396422.035,15.506900195938048,264,28581986.151,3.0275193921015178
20240417,5266,264,38680802.695,4.226211218033363,264,84460945.297,9.228086534668115
