trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20260813,603678.SH,军工电子,火炬电子,50.65,2.49,2350169440.0,,24087449860.15,24087449505.6,9.48,,102250,,1,0/0,,Z
20260813,603758.SH,汽车零部件,秦安股份,15.35,10.04,76897943.0,,6648331352.15,6648331336.8,1.16,179320235.0,92503,92503,0,5/5,5.0,U
20260813,603887.SH,IT服务Ⅱ,城地香江,12.49,10.04,228054748.0,,7519347468.29,7519347505.76,3.03,271131671.0,92501,92501,0,3/3,3.0,U
20260813,603890.SH,消费电子,春秋电子,20.45,10.01,768265952.0,,9137707508.35,9137707528.8,8.74,45793480.0,130526,130556,1,1/1,1.0,U
20260813,603903.SH,环境治理,中持股份,14.2,9.99,224510630.0,,3625536616.0,3625536616.0,6.36,18843400.0,130015,130015,0,1/1,1.0,U
20260813,603912.SH,通用设备,佳力图,8.89,10.02,320037216.0,,4821280718.1,4821280700.32,6.71,59252543.0,93558,94334,1,1/1,1.0,U
20260813,603920.SH,元件,世运电路,39.01,4.39,2071416288.0,,28110306286.17,28110306403.2,7.25,,130156,,1,0/0,,Z
20260813,603956.SH,专用设备,威派格,7.99,10.06,281289344.0,,4553551225.14,4553551241.12,6.31,75903402.0,94030,94230,1,1/1,1.0,U
20260813,603989.SH,元件,艾华集团,29.99,1.59,1597041232.0,,11959408001.4,11959407881.44,12.83,,100932,,1,0/0,,Z
20260813,603990.SH,软件开发,麦迪科技,22.26,-9.99,1419665344.0,414401109.0,6794763294.06,6794763138.24,20.54,84115820.0,,140742,19,,1.0,D
20260813,603998.SH,中药Ⅱ,方盛制药,10.77,10.01,414457088.0,,4728906247.2,4728906247.2,9.05,47330057.0,132703,134321,1,1/1,1.0,U
20260813,605179.SH,饮料乳品,一鸣食品,33.43,10.0,853829920.0,,13405430000.0,13405430000.0,6.48,34526504.0,94859,143035,9,9/13,4.0,U
20260813,605286.SH,专用设备,同力天启,34.09,10.0,77650202.0,,5727120000.0,5727120000.0,1.36,91146433.0,92500,92500,0,4/4,4.0,U
20260813,688137.SH,生物制品,近岸蛋白,64.0,20.01,425013696.0,,4474716992.0,4474716992.0,10.42,43492864.0,111637,111637,0,1/1,1.0,U
20260813,688265.SH,医疗服务,南模生物,52.42,20.01,288832128.0,,4086847351.46,4086847351.46,7.63,31725108.0,103526,103526,0,1/1,1.0,U
20260813,920367.BJ,化学制药,新赣江,31.13,29.6,378548384.0,,1307228953.14,2205910712.5,33.09,,111932,,1,0/0,,Z
